date_time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,long,lat
2022-08-02 21:58:18,ped,Intersection,,WALNUT AVE,SEAVER ST,765692.460000000000,2939485.750000000000,-71.0950563195439,42.3133854227204
2016-02-18 20:40:41,ped,Street,HUMBOLDT AVE,MUNROE ST,ELBERT ST,768070.800000000000,2941243.100000000000,-71.086233732464,42.3181766059888
2021-02-09 01:03:34,mv,Street,CHELSEA ST,E EAGLE ST,BECK ST,784555.600000000000,2964568.790000000000,-71.0247918921667,42.3819421923645
2021-09-25 20:30:39,mv,Intersection,,HYDE PARK AVE,RAMSDELL AVE,759147.810000000000,2926139.820000000000,-71.1194732926596,42.2768460466654
2015-06-06 23:03:15,bike,Street,SELDEN ST,LENA TER,WOODDALE AVE,768323.400000000000,2926404.870000000000,-71.085755587062,42.2775508928956
2020-11-01 07:49:35,mv,Street,COLUMBIA RD,GLENDALE ST,BIRD ST,773017.700000000000,2939493.190000000000,-71.0679705000923,42.3133062901438
2020-01-07 20:41:11,ped,Intersection,,MASSACHUSETTS AVE,MELNEA CASS BLVD,771859.870000000000,2946498.890000000000,-71.0721241968683,42.332547160004
2016-04-16 22:15:32,ped,Intersection,,BENNINGTON ST,SARATOGA ST,789395.330000000000,2966327.460000000000,-71.0068490153877,42.3866972431663
2016-12-16 16:52:48,ped,Street,CUMMINS HWY,OAKLAND CT,FAIRWAY ST,765931.530000000000,2922935.850000000000,-71.0946065770495,42.2678637906838
2019-05-05 01:12:23,mv,Street,BENNINGTON ST,ANTRIM ST,ASHLEY ST,789941.820000000000,2966427.330000000000,-71.0049791936386,42.3872207355806
2015-11-24 19:07:26,mv,Intersection,,BENNINGTON ST,TRIDENT ST,788441.240000000000,2965884.930000000000,-71.010389940573,42.3854980267353
2020-09-21 05:11:26,ped,Street,ARLINGTON AVE,HAMBLEN ST,DEAD END,770839.700000000000,2966565.740000000000,-71.0755404086272,42.3876123801709
2021-12-08 23:28:36,mv,Street,TALBOT AVE,NIGHTINGALE ST,WALES ST,768797.380000000000,2932427.460000000000,-71.0838553718223,42.2936992028338
2021-06-19 16:15:31,mv,Intersection,,E BROADWAY,N ST,782897.630000000000,2947711.650000000000,-71.0312786599183,42.3357158226358
2019-04-28 01:29:16,mv,Intersection,,BLUE HILL AVE,FAIRWAY ST,766127.440000000000,2923204.260000000000,-71.0937348309224,42.2687023156379
2018-07-03 14:50:20,mv,Intersection,,BOSTON ST,CLAPP ST,774874.550000000000,2942806.640000000000,-71.0610452743175,42.3223734519016
2019-07-25 23:24:32,ped,Street,ALFORD ST,SULLIVAN SQ,RUTHERFORD AVE,771688.020000000000,2966372.570000000000,-71.0723977945724,42.3870831415267
2016-11-18 23:44:42,ped,Street,QUINCY ST,DACIA ST,PERTH ST,770447.120000000000,2939714.810000000000,-71.0774851146675,42.3139376967333
2021-12-15 06:20:47,ped,Street,WASHINGTON ST,SHEPARD ST,CAMBRIDGE ST,750743.560000000000,2952083.670000000000,-71.1498366833178,42.3482839464972
2015-11-08 15:25:35,ped,Street,ADAMS ST,MEDWAY ST,DORCHESTER AVE,773482.390000000000,2924655.770000000000,-71.0664164895301,42.2724110278695
2022-10-04 20:57:38,ped,Street,SPRING ST,CENTRE ST,ALARIC ST,747691.330000000000,2926586.890000000000,-71.1616433439358,42.2778419417846
2019-02-05 16:10:15,ped,Intersection,,CENTRE ST,HASTINGS ST,749292.370000000000,2929320.360000000000,-71.1558423975798,42.2856885710159
2021-10-30 01:04:28,mv,Intersection,,MARTIN LUTHER KING JR BLVD,WARREN ST,769231.290000000000,2941192.460000000000,-71.0819416772465,42.3180218682792
2019-03-09 12:21:50,ped,Street,LONDON ST,MERIDIAN ST,GEORGE R. VISCONTI RD,780901.660000000000,2961531.010000000000,-71.0385124838526,42.3737459481812
2020-09-17 17:27:22,mv,Intersection,,AMERICAN LEGION HWY,CLARE AVE,759279.220000000000,2924559.710000000000,-71.1190138037236,42.2725084957619
2015-09-12 03:13:04,mv,Intersection,,HYDE PARK AVE,WALK HILL ST,760016.470000000000,2933138.580000000000,-71.1161471602017,42.2960404455713
2016-01-13 08:05:05,ped,Street,WASHINGTON ST,VASSAR ST,BOWDOIN AVE,771273.090000000000,2934578.850000000000,-71.0743323353344,42.2999637334445
2017-11-03 13:53:29,bike,Street,COTTAGE ST,ROBEY ST,NORFOLK AVE,773096.720000000000,2942360.280000000000,-71.0676265702916,42.3212635612614
2018-11-29 23:51:54,ped,Street,BROADWAY ,G ST,H ST,779986.980000000000,2947688.670000000000,-71.0420399597509,42.3355168258428
2021-12-26 19:09:47,mv,Street,PARK ST,MARLOWE ST,UPLAND AVE,774155.790000000000,2933755.230000000000,-71.0639470660459,42.2976841604755
2019-01-10 18:48:26,ped,Street,MELNEA CASS BLVD,MASSACHUSETTS AVE,HAMPDEN ST,771429.170000000000,2946319.640000000000,-71.0734889878474,42.3318210503974
2015-09-23 17:11:49,mv,Intersection,,ALBANY ST,TRAVELER ST,774560.110000000000,2950701.900000000000,-71.0620580852185,42.3440427447996
2020-08-11 00:27:23,mv,Street,WOOD AVE,CUMMINS HWY,NOAH ST,761610.640000000000,2924336.260000000000,-71.1104122009513,42.2718654702672
2015-06-12 07:20:40,mv,Intersection,,COMMERCIAL ST,CHARTER ST,775973.180000000000,2959522.670000000000,-71.0566615891518,42.3682270768367
